title,abstract,imgsrc,mText
«اوردوز» در آمریکا رکورد زد,نتایج یک بررسی جدید نشان می‌دهد، مرگ و میر ناشی از مصرف بیش از حد مواد مخدر  در آمریکا در سال 2017 به میزان 10 درصد افزایش یافته است.,https://media.farsnews.com/Uploaded/Files/Images/1397/06/05/13970605000426_Test_PhotoN.jpeg,"به گزارش خبرنگار گروه علمی و دانشگاهی خبرگزاری فارس به نقل از دیلی‌میل،‌ نتایج یک بررسی جدید نشان می‌دهد، مرگ و میر ناشی از مصرف بیش از حد مواد مخدر  در آمریکا در سال 2017 به میزان 10 درصد افزایش یافته است.
داده‌ها حاکی از آن است، در سال 2017، 70 هزار و 237 نفر در اثر مصرف بیش از حد مواد مخدر در ایالات متحده آمریکا جان خود را از دست دادند که تقریبا 10 درصد از سال 2016 بیشتر است.
کارشناسان می‌گویند: مصرف بی‌رویه فنتانیل در افزایش آمار مرگ و میر تأثیر به سزایی داشته است. 
آمارها بیانگر آن است، مرگ و میر در اثر مصرف مواد مخدر مصنوعی مانند فنتانیل بین سال‌های 2016 تا 2017 با بیش از 45 درصد رشد مواجه بوده است.
بررسی‌های اخیر نیز نشان داده است، ویرجینیای غربی، اوهایو و پنسیلوانیا بالاترین میزان مرگ و میر در اثر مواد مخدر را داشته‌اند و نبراسکا، داکوتای شمالی و داکوتای جنوبی کمترین میزان مرگ و میر را داشتند.
گزارش جدید مرکز کنترل و پیشگیری از بیماری ها (CDC) نشان می‌دهد که میزان مرگ و میر ناشی از مصرف مواد مخدر در سال 2017 بیش از هر زمان دیگری با افزایش مواجه بوده است.
این بدان معنی است که در 20 سال گذشته میزان مرگ و میر در اثر مصرف مواد مخدر بیش از چهار برابر افزایش یافته است؛ شمار مرگ افراد از 6.1 مرگ و میر در هر 100 هزار نفر در سال 1999 به 21.7 در سال گذشته رسیده است.
مردان سفید پوست در سن 35 تا 44 سالگی شمار زیادی از آمار مرگ و میر را به خود اختصاص داده‌اند.
انتهای پیام/"
سند علم و فناوری استان بوشهر تدوین می‌شود,سند علم و فناوری استان بوشهر در راستای توسعه علم و فناوری و با اهداف تدوین برش استانی برنامه عملیاتی علم، فناوری و نوآوری برای استان‌های منتخب تدوین می‌شود.,https://media.farsnews.com/Uploaded/Files/Images/1397/05/21/13970521000604_Test_PhotoN.jpg,"به گزارش گروه علمی و دانشگاهی خبرگزاری فارس به نقل از روابط عمومی دبیرخانه شورای عالی عتف، عبدالکریم گراوند از تدوین سند علم و فناوری استان بوشهر خبر داد و گفت: استان بوشهر دارای ظرفیت‌‌های مهمی در عرصه صنعت، علمی و فناوری است که بر این اساس سند علم و فناوری استان بوشهر با مشارکت دانشگاه‌ها و شرکت‌های دانش بنیان تدوین می‌شود.
وی با اشاره به ظرفیت و توانمندی بالای پژوهشی، علمی و فناوری در جامعه اسلامی خاطرنشان کرد: استفاده از توان مشاوران داخلی در عرصه تدوین سند علمی استان بوشهر امری مهم و ضروری است.
استاندار بوشهر با تاکید بر توجه به محدوده زمانی در تدوین سند علمی استان بوشهر بیان کرد: در این سند گام‌های عملیاتی به خوبی مشخص و در کارهای تحقیقاتی باید کار خوبی انجام شود.
گراوند با بیان اینکه همه باید دست به دست هم دهیم تا به برنامه توسعه‌ای مناسبی دست یابیم تصریح کرد: باید اختیارات محلی و منطقه‌ای وجود داشته باشد تا همه دستگاه‌ها پای کار بیایند و بتوان تصمیم‌گیری و مدیریت بهتری کرد.
وی با تاکید بر استفاده از توان استادان دانشگاه‌ها و صاحب‌نظران استان بوشهر در تدوین سند توسعه علم و فناوری استان بوشهر گفت: در این راستا باید راهکارهای مناسبی با همکاری بین بخشی تدوین و استفاده شود.
استاندار بوشهر با بیان اینکه دستگاه‌های اجرایی باید متناسب با توانمندی، همکاری لازم در زمینه تدوین سند داشته باشند افزود: افرادی که در حوزه علمی فعالیت داشته‌اند در تدوین سند علمی استان بوشهر بکارگیری شوند.
در ادامه جلسه مهدی پاکزاد مدیر امور ستادهای دبیرخانه شورای عالی عتف ضمن ارایه اهداف این سند گفت: در راستای توسعه علم و فناوری و با اهداف تدوین برش استانی برنامه عملیاتی علم، فناوری و نوآوری برای استان‌های منتخب دارای اهداف متعددی از جمله کمک به شکل گیری و ارتقاء اثربخشی زیست بوم نوآوری استانی، برنامه محور کردن بودجه‌های تحقیقاتی استان، استفاده از ظرفیت علم و فناوری برای رفع چالش‌ها و مسائل استان، تقاضا محور کردن فعالیت‌های علم و فناورانه استان، هم افزایی استانی و ملی در زمینه توسعه علم، فناوری و نوآوری، شناسایی نیاز‌ها و اولویت‌ها و مسائل اساسی استان، تقسیم کار نهادی در سطح استانی برای رفع مسائل و نیازها، درگیر کردن دانشگاه‌های استان در تدریس برنامه‌های علم، فناوری و نوآوری استان و توجه به توانمندی‌ها و پتانسیل‌های استانی در توسعه علم، فناوری و نوآوری برنامه علم و فناوری می‌باشد.
وی همچنین اظهار داشت : برنامه عملیاتی علم، فناوری و نوآوری استانی به عنوان نقشه راه و مسیر حرکت فعالیت‌های علمی و فناورانه در سطح استان بوده و باعث ایجاد هم افزایی بین اقدامات نهاد‌ها و کنشگران عرصه نوآوری شده و منجر به تسهیل در ایجاد اکوسیستم نوآوری منطق‌های خواهد شد.
شایان ذکر است، طرح تدوین برنامه علم و فناوری در استان‌های هرمزگان، سیستان و بلوچستان، خراسان شمالی، همدان، البرز، گیلان، بوشهر، اصفهان، قزوین، کردستان، آذربایجان شرقی و فارس در دبیرخانه شورای عالی عتف در حال انجام است که این جلسه با حضور معاون استاندار و معاون اجرایی دبیرخانه شورای عالی عتف در استانداری استان فارس برگزار شده است.
انتهای پیام/"
همایش «تبیین اندیشه دفاعی امام خامنه‌ای» برگزار شد,همایش تبیین اندیشه دفاعی امام خامنه‌ای صبح امروز در واحد علوم و تحقیقات برگزار شد.,https://media.farsnews.com/Uploaded/Files/Images/1397/05/22/13970522000864_Test_PhotoN.jpg,"محمدرضا آبدار رئیس پژوهشکده علمی، نوآوری و فناوری واحد علوم و تحقیقات در گفت‌وگو با خبرنگار گروه علمی و دانشگاهی خبرگزاری فارس، گفت: پژوهشکده علمی، نوآوری و فناوری واحد علوم و تحقیقات امروز یازدهم آذرماه در سالن دکتر‌ حبیبی دانشگاه آزاد اسلامی واحد علوم و تحقیقات میزبان همایش تبیین اندیشه دفاعی امام خامنه‌ای بود.
وی افزود: در این همایش ارائه و نقد علمی مقالات برگزیده با حضور قاسم علی دوستی رئیس مرکز مطالعات راهبردی دیپلماسی دفاعی وزارت دفاع، سیف ضیاءالدین قاضی طباطبائی عضو هیات علمی دانشگاه امام حسین(ع)، مهدی ذاکریان عضو هیات علمی دانشگاه آزاد اسلامی به عنوان داور در واحد علوم تحقیقات برگزار شد.
آبدار گفت: از بین 2371مقاله ثبت شده به تفکیک سطح تحصیلات نویسندگان مسئول با احتساب نویسندگان همکار 273نفر با دکتری، 1457نفر ارشد ، 150نفر حوزوی ،۴۵۱نفر سایر بوده اند.
وی با بیان اینکه بیشترین مقاله از سوی اساتید و دانشجویان دانشگاه آزاد اسلامی بوده است، اظهار داشت: در این همایش سردار دهقان وزیر سابق دفاع و پشتیبانی نیروهای مسلح، محمد رحیم عیوضی استاد تمام و عضو هیات علمی دانشگاه بین المللی امام خمینی (ره) قزوین و شاهد، عسگری عضو هیات علمی دانشگاه هوایی شهید ستاری، جعفری عضو هیات علمی دانشگاه مالک اشتر، علی فلاحی استاد دانشگاه آزاد اسلامی و علیپور عضو هیات علمی دانشگاه آزاد اسلامی واحد علوم و تحقیقات به عنوان برگزیده مقالات خود را ارائه کردند.
رئیس پژوهشکده نوآوری و فناوری گفت: به افراد شرکت کننده در این همایش گواهی ارائه می‌شود. انتهای پیام/"
اعلام آمادگی پژوهشگاه علوم انسانی برای تدوین دایره‌المعارف مشترکات فرهنگی تمدنی ایران و هند,رئیس پژوهشگاه علوم انسانی و مطالعات فرهنگی  ازاعلام آمادگی پژوهشگاه علوم انسانی برای تدوین دایره‌المعارف مشترکات فرهنگی تمدنی ایران و هند خبر داد.,https://media.farsnews.com/Uploaded/Files/Images/1397/06/05/13970605001168_Test_PhotoN.jpg,"به گزارش گروه علمی و دانشگاهی خبرگزاری فارس، حسینعلی قبادی رئیس پژوهشگاه علوم انسانی و مطالعات فرهنگی در همایش بین‌المللی پانینی، دستورنویس سانسکریت گفت: سرچشمه‌های مشترک اسطوره‌ای، حماسی، تاریخی ایران و هند به حدی سیال مانده و در فراخنای عهد پیشا تاریخی و پسا تاریخی تا روزگار ما به پیش آمده است که ما امروز افتخار می‌کنیم که بسیاری از اسامی اسطوره‌ی ایرانی، همچون فریدون، اسفندیار، سهراب و رستم در میان بسیاری از مردم سرزمین هند رواج دارد و بر در و دیوار هند، پژواک اسطوره‌های ایرانی به گوش می‌رسد. رئیس پژوهشگاه علوم انسانی و مطالعات فرهنگی ادامه داد: امروزه هرکس از تاج محل، بخش‌هایی از دهلی و بسیاری از نقاط دیگری که در هند دارای معماری مشابه اصفهان و یزد و شیراز، سلطانیه و تبریز و عمده شهرهای قدیمی‌تر ایرانی است، بازدید می‌کند ناخودآگاه به یاد این شعر سعدی می‌افتد که گر بگویم که مرا با تو سر و کاری نیست؛ در و دیوار گواهی بدهد کاری هست و سخن گاندی بزرگ را به ذهن متبادر می‌سازد که ایران و هند، شبیه‌ترین کشورها به یکدیگر هستند. وی افزود: در عرصه علم و ادب و فرهنگ شواهد فراوانی برای اشتراک تمدنی و فرهنگی ایران و هند به چشم می‌خورد. قبادی اظهار داشت: سرگذشت به نگارش آمدن نخستین دستور زبان جهان به وسیله پانینی، در دوران ساسانیان، رفتن بزرگمهر حکیم به هندوستان برای بهره‌مندی از میراث فرهنگی آن دیار و در نتیجه ترجمه کتاب فرهنگ آفرین کلیه و دمنه را نمونه‌ای از این شواهد دانست و گفت: اما حقیقت و بنیان این اشتراک فرهنگی و تمدّنی کدام است؟ آن گوهر اخلاق و معنویت، مدارا و رواداری صلح و نفی خشونت است حتی به نظر می‌رسد ابوریحان که به پشتوانه تمدنی آن زمان ایران تکیه داشت، به دستیابی حقایقی ناب در فرهنگ و علم در هند، به جستجوی دراز آهنگ پرداخته و آن ابقای اخلاقی، معونیت و اسطوره‌های هندی بوده است. بی‌دلیل نیست که در قرنهای بعدی بخشی عظیم از میراث معنوی ایرانی در هند شکل می‌گیرد و سبک هندی برای شعر ایرانی در سرزمین هند نامگذاری می‌شود. قبادی گفت: حتی در روزگار ما نیز متنفکرانی چون آل احمد به این حقیقت رسیده‌اند که مکاتب غربی و مارکسیسم، مناسب جامعه ایرانی نیست و برای تعامل جهانی فرهنگی بهترین سرمایه مشترک آن است که باید به سراغ هند برویم. پروفسور وینای ساهارا، رئیس شورای روابط فرهنگی کشور هند، سهراب کومار، سفیر کشور هند، غلامعلی حداد عادل، رئیس فرهنگستان زبان و ادبیات فارسی و عضو شورای عالی انقلاب فرهنگی، اشرف بروجردی معاون رئیس‌جمهوری و رئیس مرکز اسناد و کتابخانه ملی، پروفسور سینک، رایزن فرهنگی سفارت هند در ایران از جمله شخصیت‌های حاضر در این همایش بودند. رئیس پژوهشگاه علوم انسانی و مطالعات فرهنگی برای تدوین پروژه‌ کلان مشترک دایره‌المعارف مشترکات فرهنگی تمدنی ایران و هندوستان با مشارکت کشور هند اعلام آمادگی کرد و گفت: افتخار می‌کنم در این جا اعلام کنم که این پژوهشگاه در اجرای پروژه‌های تحقیقاتی خود در امر توسعه بندر چابهار به عنوان یک نمونه بسیار موفق و گسترده توسعه همکاری‌های ایران و هند مشارکت داشته است و امیدوارم به عنوان بزرگ‌ترین مرکز علوم انسانی آسیای غربی بتواند با مطالعات و پژوهش‌های خود و با توجه به زمینه‌های عمیق و مشترکات ژرف تاریخی موجب تقویت و تعمیق هر چه بیشتر روابط همه جانبه دو کشور در آینده باشد.
انتهای پیام/"
ضرورت ارائه تعریف دقیق معماری جمهوری اسلامی,عضو شورای عالی انقلاب فرهنگی گفت: مدیریت شهری محله محور در تمدن اسلامی نشان دهنده نوع نگاه این دین مبین به ارتباطات انسانی بوده که متأسفانه امروز این نگاه تضعیف شده است لذا تعریف و تبیین دقیق معماری دوره جمهوری اسلامی لازم است.,https://media.farsnews.com/Uploaded/Files/Images/1397/07/03/13970703000486_Test_PhotoN.jpg,به گزارش گروه علمی و دانشگاهی خبرگزاری فارس، جلسه 237 کمیته فرهنگ و تمدن اسلام و ایران شورای عالی انقلاب فرهنگی در محل دبیرخانه این شورا برگزار شد. در ابتدای این جلسه علی اکبر ولایتی عضو شورای عالی انقلاب فرهنگی پیرامون موضوع علم حکمت بنیان گفت: علم جدید به دنبال حکمت است و اگر بتوانیم میراث گذشتگان خود در این زمینه را احیاء کنیم، جهان‌بینی علمی متفاوت خواهد شد و باید گفت نوع جهان‌بینی در تولید علم تأثیر گذار است. عضو شورای عالی انقلاب فرهنگی ادامه داد: نگاه حکمی به علم، عالم را دارای ابتدا و انتها می‌داند و این منظومه عظیم را هدفمند تلقی می‌کند. دستور بعدی جلسه 237 کمیته فرهنگ و تمدن اسلام و ایران ارائه گزارش معاونت عمرانی وزارت کشور پیرامون موضوع هویت تاریخی شهر در تمدن اسلامی بود که در این گزارش با اشاره به نحوه مدیریت شهری در تمدن اسلامی لزوم بازنگری در ساماندهی اقتصاد شهری مورد تأکید قرار گرفت. ولایتی هم در این زمینه گفت: این موضوع گسترده باید به‌صورت تفصیلی بررسی شود زیرا معماری و شهرسازی نقش بارزی در هویت ملت‌ها دارد و در بسیاری از کشورها این معماری است که وجه متمایز با سایر کشورها تلقی می گردد. وی ادامه داد: مساجدی که تا اواخر قاجاریه ساخته شده است همگی دارای هویت معماری اسلامی -ایرانی هستند. ولایتی افزود: در بسیاری از شهرهای اروپایی حفظ ساختمان‌ها و تأسیسات شهری که نشان‌دهنده هویت آن شهر هستند، با دقت دنبال می‌شود. وی تاکید کرد: مدیریت شهری محله محور در تمدن اسلامی نشان دهنده نوع نگاه این دین مبین به ارتباطات انسانی بوده که متأسفانه امروز این نگاه تضعیف شده است لذا تعریف و تبیین دقیق معماری دوره جمهوری اسلامی لازم است. ولایتی گفت: این نوع مدیریت شهری که حاصل آمیختگی دین و دنیاست می‌تواند نشان‌دهنده نگاه جامع اسلام به حیات دنیوی و اخروی باشد. پس از سخنان ولایتی، اعضا به بیان نظرات و پیشنهادهای خود درباره آثار و عوارض شهرسازی بدون هویت بر سلامت شهروندان، تجدیدنظر در قوانین و مقررات شهرسازی و معماری، محوریت مسجد در محله شهر اسلامی، ساختن ماکت اختراعات دانشمندان تمدن اسلامی و نمایش آنها در اماکن عمومی شهرها پرداختند. انتهای پیام/
حساسیت‌های علمی، فرهنگی و اخلاقی در انتشار متون پژوهشی لحاظ شود,عضو شورای عالی انقلاب فرهنگی گفت: در انتشار متون پژوهشی باید همه حساسیت‌های علمی، فرهنگی و اخلاقی لحاظ شود.,https://media.farsnews.com/Uploaded/Files/Images/1397/05/24/13970524000304_Test_PhotoN.jpg,به گزارش گروه علمی و دانشگاهی خبرگزاری فارس، جلسه 126 مجمع هیئت حمایت از کرسی‌های نظریه‌پردازی، نقد و مناظره شورای عالی انقلاب فرهنگی به ریاست آیت‌الله علی‌اکبر رشاد برگزار شد. در ابتدای این جلسه گزارش راه‌اندازی سامانه شناسایی و رصد نظریه‌ها و نوآوری‌های علمی و بومی توسط دانشگاه آزاد اسلامی ارائه شد. براساس این گزارش؛ این پروژه حاصل همکاری دانشگاه آزاد اسلامی واحد قزوین، معاونت فرهنگی و پژوهشگاه علوم اجتماعی وانقلاب دانشگاه آزاد اسلامی و دبیرخانه هیأت حمایت از کرسی های نظریه پردازی، نقد و مناظره است که با هدف ایجاد پایگاه جامع از پژوهشگران و نظریه پردازان در حوزه های مختلف علوم انسانی و معارف دینی، وضع شناسی امروز جامعه علمی کشور از حیث ظرفیت نظریه پردازی در علوم انسانی و مکانیزه کردن کلیه مراحل ارائه نظر در حال آماده سازی است. پس از ارائه این گزارش اعضا به بیان نظرات و پیشنهادهای خود درباره پشتیبانی مستمر از این سامانه، استفاده از رویه واحد در نگارش متون، توجه به سوابق علمی و پژوهشی صاحبان نظرات علمی، لزوم رفع مشکل فقدان پایگاه داده‌های علمی و دانشگاه محور بودن این سامانه و اتکاء به توانایی دانشگاهیان پرداختند.  آیت‌الله رشاد هم در این زمینه طی سخنانی گفت: زحمات دانشگاه آزاد اسلامی در این زمینه شایسته تقدیر است. وی افزود: همه اطلاعات هیئت حمایت با لحاظ رده‌بندی‌ها و طبقه‌بندی‌ها باید در این سامانه قرار داده شوند. عضو شورای عالی انقلاب فرهنگی ادامه داد: در انتشار همه متون پژوهشی باید همه حساسیت‌های علمی، فرهنگی و اخلاقی لحاظ شود. آیت‌الله رشاد گفت: البته این انتشار عمومی که داوری عمومی را نیز در پی خواهد داشت، موجب خواهد شد تا همه با دقت کار خود را انجام دهند. وی افزود: این سامانه قطعاً برای جلوگیری از تقلبات علمی به کار خواهد آمد و می‌تواند در سایر بخش‌ها هم مورد استفاده قرار گیرد. رئیس پژوهشگاه فرهنگ و اندیشه اسلامی ادامه داد: تشابه دو نظریه لزوماً معنای سرقت علمی را نمی‌دهد و ما باید این موضوع را مورد توجه قرار دهیم. دستور بعدی جلسه 126 مجمع هیئت حمایت از کرسی‌های نظریه‌پردازی، نقد و مناظره ارائه موضوع «نظریه‌پردازی هنر» بود که توسط بنی‌اردلان رئیس دانشکده علوم نظری دانشگاه هنر ارائه شد. وی با اشاره به نظریه‌پردازی در باب هنر در دوران مدرن گفت: نباید روش‌شناسی و معرفت‌شناسی مدرن به سنت تاریخی تمدن ما تحمیل شود. رئیس دانشکده علوم نظری دانشگاه هنر گفت: باید روش‌شناسی و دستاوردهای شرق شناسان غربی در زمینه هنر و ادبیات نقد و تحلیل شود. دکتر بنی‌اردلان ادامه داد: برخی با نام حکمت هنر اسلامی آثاری پدید آورده‌اند که برخی از این آثار هم باید نقد و تحلیل شود. وی گفت: خداوند امر نامتناهی در سنت هنر اسلامی و ایرانی حضوری قوی و تأثیرگذار دارد. پس از سخنان بنی‌اردلان، حجت‌الاسلام‌والمسلمین خسروپناه نیز طی سخنانی گفت: در حوزه هنر سؤالات فراوانی وجود دارد که پاسخ نگرفته است. وی افزود: باید بررسی شود آیا نگاه حکمی و الهی هنرمندان مسلمان در آفرینش هنری آنها تأثیر داشته یا نه؟ دبیر هیئت حمایت از کرسی‌های نظریه‌پردازی، نقد و مناظره ادامه داد: طراحی و معماری حرم مطهر حضرت امام رضا(ع) توسط شیخ بهایی حتماً از نگاه عالم بزرگوار به شخصیت الهی حضرت امام رضا(ع) متأثر است. خسروپناه افزود: در حوزه هنر بحث فقه هنر نیز مطرح است که میتواند به توسعه این شاخه کمک کند. انتهای پیام/
پیام تسلیت شورای عالی انقلاب فرهنگی برای درگذشت زرویی نصرآبادی,دبیرخانه شورای عالی انقلاب فرهنگی با صدور پیامی یاد و خاطره مرحوم زرویی نصرآبادی را گرامی داشت.,https://media.farsnews.com/Uploaded/Files/Images/1397/09/11/13970911000161_Test_PhotoN.jpg,"به گزارش گروه علمی و دانشگاهی خبرگزاری فارس، دبیر خانه شورای عالی انقلاب فرهنگی با صدور پیامی یاد و خاطره مرحوم ابوالفضل زرویی نصرآباد را گرامی داشت. در متن این پیام آمده است:
«درگذشت شاعر و طنز پرداز توانمند، مرحوم ابوالفضل زرویی نصر آباد؛ که حقا از چهره‌های درخشان عرصه ادبیات متعهد بودند؛ بدون تردید ضایعه‌ای بزرگ برای این عرصه است.
دبیرخانه شورای عالی انقلاب فرهنگی، ضمن گرامیداشت یاد و خاطره آن مرحوم و آرزوی رحمت و غفران واسعه الهی برای ایشان، این ضایعه را به تمام بازماندگان و جامعه ادبی و هنری کشور تسلیت عرض می‌کند.» انتهای پیام/"
تلاش برای اقتدار دانشگاه آزاد در تولید علم و تربیت نخبگان آینده‌ساز,معاون فرهنگی و دانشجویی دانشگاه آزاد اسلامی گفت: همت مسئولان دانشگاه، اقتدار دانشگاه آزاد اسلامی در سه حوزه تولید علم، آموزش و پرورش نیروی انسانی و نخبگان آینده‌ساز است.,https://media.farsnews.com/Uploaded/Files/Images/1397/05/23/13970523000486_Test_PhotoN.jpg,"به گزارش گروه علمی و دانشگاهی خبرگزاری فارس به نقل از روابط عمومی دانشگاه آزاد اسلامی،  حجت‌الاسلام ابراهیم کلانتری معاون فرهنگی و دانشجویی دانشگاه آزاد اسلامی در نشست تخصصی دانشجویی و فرهنگی دانشگاه آزاد اسلامی استان بوشهر، با اشاره به نقش دانشگاه ها در دنیا، گفت: دانشگاه‌ها رویدادهای مهمی در جهان رقم زده و بعضاً مسیر تاریخی کشورها را تغییر داده‌اند.
وی جهان‌بینی در غرب و ایجاد قدرت‌های جهانی را متأثر از نقش دانشگاه در دنیا دانست و تصریح کرد: جهان در پیچ تاریخی مهمی قرار گرفته که آشفتگی سیاسی برخی از کشورها و حتی مکاتبی چون اومانیسم، سکولاریسم و لیبرالیسم نشأت گرفته از کارکرد دانشگاه‌هاست.
معاون فرهنگی و دانشجویی دانشگاه آزاد اسلامی با بیان اینکه این دانشگاه مولود انقلاب اسلامی است، اظهار داشت: دانشگاه آزاد اسلامی با حمایت مستقیم امام راحل و همه ارکان نظام شکل گرفت و امروز نیز مقام معظم رهبری با انتخاب دکتر ولایتی شخصیت شناخته شده در مسائل سیاسی و علمی، به این دانشگاه اهمیت بیشتری دادند.
کلانتری دانشگاه آزاد اسلامی را نعمت بزرگی برای کشور، جامعه و خانواده‌ها دانست و خاطرنشان کرد: اگر دانشگاه آزاد اسلامی نبود، بسیاری از فرزندان این سرزمین به ‌دلیل تحصیل علم در کشورهایی که از نظر هویتی و فرهنگی با ارزش‌های جامعه اسلامی ما منافات دارند، به ورطه نابودی کشیده می‌شدند.
وی با تأکید بر اینکه در دوره مدیریت جدید دانشگاه، تلاش شده تا گامی اساسی، مناسب، دقیق و رو به جلو در تمامی عرصه‌ها برداشته شود، عنوان کرد: همت مسئولان دانشگاه، اقتدار دانشگاه آزاد اسلامی در سه حوزه تولید علم، آموزش و پرورش نیروی انسانی و نخبگان آینده‌ساز است که این مهم با افزایش کیفی کارکرد دانشگاه میسر خواهد شد.
معاون فرهنگی و دانشجویی دانشگاه آزاد اسلامی با تأکید بر اینکه مسائل فرهنگی و کار در این حوزه بسیار مهم است، اظهار داشت: رویکرد کلان در حوزه فرهنگی، رویکرد معرفتی و تعمیق فکر و اندیشه دانشجویان و دانشگاهیان است و باید برای رفع خلاء فکری و اندیشه اسلامی در نسل جوان و جامعه کارهای زیرساختی و اثرگذار انجام داد.
وی با بیان اینکه گام اصلی در ریل‌گذاری مسائل فرهنگی در دانشگاه، جاری کردن مُر قوانین اسلام در دانشگاه است، گفت: در دانشگاه اسلامی و فرهنگی، ظاهر دانشگاه، عملکرد درونی دانشگاه و کارکرد بیرونی دانشگاه مطابق فرهنگ ناب اسلام است.
کلانتری با اشاره به نزدیکی روز دانشجو، گفت: هر کاری نیازمند زمانی خاص است و برای بصیرت‌افزایی و نخبه‌پروری سیاسی در دانشگاه، ۱۶ آذر بهترین زمان ممکن است.
وی با بیان اینکه ۱۶ آذر سند تاریخی و غیرقابل تغییر و تحریف در رویدادهای تاریخی کشور است، عنوان کرد: ماهیت این روز، ماهیتی ضد آمریکایی است و مسئولان دانشگاهی با حفظ هویت استکبارستیزی در قالب برنامه‌های کیفی مانند سخنرانی‌های روشنگرانه، پرسش و پاسخ و میزگردهای سیاسی، باید ذهن دانشجویان را آماده مقابله با دشمنان ایران اسلامی کنند.
انتهای پیام/"
خداحافظی انگلیس با گالیله اتحادیه اروپا,ترزا می نخست وزیر انگلیس می گوید این کشور در حال بررسی راه اندازی یک سیستم ناوبری ماهواره ای اختصاصی است و دیگر قصد ندارد به سیستم ناوبری گالیله اتحادیه اروپا تکیه کند.,https://media.farsnews.com/Uploaded/Files/Images/1397/09/09/13970909000277_Test_PhotoN.JPG,"به گزارش خبرنگار گروه علمی و دانشگاهی خبرگزاری فارس به نقل از اسپوتنیک نیوز، ترزا می نخست وزیر انگلیس می گوید این کشور در حال بررسی راه اندازی یک سیستم ناوبری ماهواره ای اختصاصی است و دیگر قصد ندارد به سیستم ناوبری گالیله اتحادیه اروپا تکیه کند.
 پیش از این قرار بود گالیله با سیستم جی پی اس آمریکا رقابت کند. انتظار می رود گالیله از سال 2020 در دسترس قرار بگیرد. این سیستم در دو نسخه غیرنظامی و نظامی عرضه خواهد شد.
انگلیس 1.2 میلیارد پوند برای راه اندازی گالیله سرمایه گذاری کرده است و بودجه کل این طرح در حدود 9 میلیارد پوند تخمین زده می شود. علت اجرای چنین طرحی توسط انگلیس آن است که به علت خروج این کشور از اتحادیه اروپا دیگر به آن اجازه دسترسی به بخش هایی از گالیله که مختص نهادهای دولتی، نیروهای مسلح و نیروهای امدادی است، داده نخواهد شد.
در نتیجه انگلیس چاره ای ندارد تا برای رفع نیازهای ارتش و دولت و سازمان های امدادرسان خود یک سیستم موقعیت یابی مکانی اختصاصی راه اندازی کند. هنوز مشخص نیست سیستم موقعیت یابی ماهواره ای انگلیسی ها چه زمانی در دسترس خواهد بود.
اجرای طرح گالیله از سال 1999 آغاز شده و اولین ماهواره به منظور عملیاتی کردن آن در سال 2013 به فضا پرتاب شده است. پیش از این برخی شرکت های انگلیسی با طرح گالیله همکاری داشته اند.
انتهای پیام/"
موبایل‌ها 7 برابر کثیف‌تر از سرویس‌های بهداشتی هستند,نتایج یک بررسی جدید بیانگر آن است، موبایل‌ها 7 برابر بیش از سرویس‌های بهداشتی کثیف هستند.,https://media.farsnews.com/Uploaded/Files/Images/1397/09/11/13970911000276_Test_PhotoN.jpg,"به گزارش خبرنگار گروه علمی و دانشگاهی خبرگزاری فارس به نقل از دیلی‌میل، نتایج یک بررسی جدید بیانگر آن است، موبایل‌ها 7 برابر بیش از توالت‌ها کثیف هستند. 
براساس اظهار نظر کارشناسان علمی، میزان قابل توجهی از باکتری‌ها،کپک‌ها و مخمرها در تلفن همراه‌ها وجود دارند.
افرادی که تلفن همراه خود را داخل سرویس بهداشتی می‌برند، به میزان چشمگیری موبایل‌ آلوده‌تری نسبت به بقیه افراد در دست دارند. 
تحقیقات نشان داده است، افرادی که از قاب‌های چرمی برای حفاظت از گوشی خود استفاده می‌کنند، 17 برابر گوشی آلوده‌تری نسبت به بقیه افراد دارند.
نتایج به دست آمده از یک نظرسنجی نیز نشان داد، دست کم 2 نفر از هر 5 کارمند، تلفن همراه خود را به سرویس بهداشتی می‌برند. 
متخصصان پوست هشدار می‌دهند، تماس تلفن همراه با پوست در شرایطی که حامل این حجم از آلودگی است، قطعا مشکلات پوستی به بار خواهد آورد. 
 هیو پنینگتون، استاد انستیتو باکتریولوژی در دانشگاه آبردین، می‌گوید: «حمل کردن مداوم تلفن همراه مثل این است که افراد یک دستمال کاغذی پر از باکتری را در دست داشته باشند و آن را همه جا با خود حمل کنند».
انتهای پیام/"
